model_name,datasets_present,legacy_label,strict_label,maximal_label,verified_label,evidence,certainty
QwQ-32B-Fireworks,arc_agi_1_eval,Standard,Standard,Thinking,Thinking,ambiguous_reasoning_brand,low
claude-haiku-4-5-20251001,arc_agi_1_eval|arc_agi_2_eval,Standard,Standard,Standard,Standard,plain_standard_name,high
claude-haiku-4-5-20251001-thinking-16k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-haiku-4-5-20251001-thinking-1k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-haiku-4-5-20251001-thinking-32k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-haiku-4-5-20251001-thinking-8k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-opus-4-5-20251101-thinking-16k,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-opus-4-5-20251101-thinking-1k,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-opus-4-5-20251101-thinking-32k,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-opus-4-5-20251101-thinking-64k,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-opus-4-5-20251101-thinking-8k,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-opus-4-5-20251101-thinking-none,arc_agi_2_eval,Standard,Standard,Standard,Standard,explicit_thinking_none,high
claude-sonnet-4-5-20250929,arc_agi_1_eval|arc_agi_2_eval,Standard,Standard,Standard,Standard,plain_standard_name,high
claude-sonnet-4-5-20250929-thinking-16k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
